商品链接,商品名称,商品类目,价格,在库库存,在途库存,运费,准时交货率,准时处理时间/工作日,退款率,订单完成率,缺货程度,关键信息变更次数
https://www.neobund.com/detail/4471,Bohemian wind and iron wood combined with creative wall clock,"['Home Supplies', 'Home Decor', 'Clocks']",33.5,30,32,$15.00 - $22.00,100,0.72,0,100,0,1
https://www.neobund.com/detail/4262,2400-piece polymer clay bead kit for DIY bracelets-20 vibrant colors flat round beads for friendship jewelry craft,"['Toys & Hobbies', 'DIY']",3,69,500,$5.00,98.53,0.43,0,100,0.03,0.03
https://www.neobund.com/detail/1555,"Mouse Pad with Stitched Edges and Non-Slip Rubber Base, Premium-Textured Mouse Pad for Gaming & Working, 12.6 x 10.63 x 0.16 inch (32 x 27 x 0.4 cm, Futuristic Metropolis","['Computers & Office Equipment', 'Computer Accessories']",0.99,277,0,$4.99,100,0.16,0,100,0,0.5
https://www.neobund.com/detail/4691,"Kitchen Rug and Mats 31.5X17.3In, Kitchen Rugs and Mats Non Skid Washable, for Kitchen Sink Side Mats, Aisle Rugs, Hallway Rugs\n","['Textiles & Soft Furnishings', 'Household Textiles', 'Carpets, Mats & Rugs']",6,180,0,$9.20,0,0,0,0,18.6,0.3
https://www.neobund.com/detail/5030,"Vintage Halloween Shower Curtain Set Black, Heavy Duty Waffle Fabric, Creepy Gothic Skeleton Skulls Bats Fun Cute Halloween Shower Curtains with Hooks Scary Spooky Horror Bathroom Decor\n","['Home Supplies', 'Bathroom Supplies', 'Shower Curtains & Rods']",6.5,24,0,$5.70,100,0.38,0,100,0.07,0.88
https://www.neobund.com/detail/3236,"Lightning In-ear Earphones Applicable iPhone14\u002F13\u002F12\u002F11\u002F7\u002F8 Plus XS,with Lightning Connector, Wired Ear Buds for iPhone with Built-in Remote to Control Music, Phone Calls, and Volume","['Phones & Electronics', 'Audio & Video', 'Earphones & Headphones', 'Wired Headphones']",6.99,797,500,$5.00,99.54,0.54,1.83,99.77,0.38,0
https://www.neobund.com/detail/3879,"Solar Street Lights Outdoor - Solar Lights Outdoor Waterproof Motion Sensor, Solar Parking Lot Lights Commercial Dusk to Dawn, LED Street Light Solar Powered for Outside, Yard","['Home Improvement', 'Lights & Lighting']",38.6-51.8,47,0,$13.00,100,0.78,0,50,0,0.13
https://www.neobund.com/detail/5170,"Magnetic Blocks - Build Mine Magnet World Magic Portal Set, Magnetic Tiles Building Blocks Toddler Toys STEM Sensory Outdoor Toys for 3+ Year Old Boys & Girls, Creative Kids Games Kids Toys","['Toys & Hobbies', 'Educational Toys']",9.99-19.99,26,0,$11.00,100,0.45,0,100,0,1.14
https://www.neobund.com/detail/5278,"Especially Yours Curly Headband Wig Shoulder-Length Layers of Natural Spiral Curls with Full, Bouncy Volume, Comfy Stretch Band\u002FRunway Shades of Black Headband Kinky Curly Synthetic Hair Wigs For African American Women 16 Inch (Black)","['Fashion Accessories', 'Hair Extensions & Wigs']",20.58,70,0,$6.70,0,0,0,0,0,0
https://www.neobund.com/detail/4653,Yvolution Kids Learner Skates Twista 7-11 US Kids Size,"['Toys & Hobbies', 'Sports & Outdoor Play', 'Ride-ons Toys']",39.99,0,0,$9.50 - $11.00,0,0,0,0,0,0.5
https://www.neobund.com/detail/5497,"VEVOR Handrails for Outdoor Steps 32\"" Wall Mount Safety Railings for 1-3 Steps","['Home Improvement', 'Building Supplies', 'Ladders']",16.44,511,0,$15.00,99.68,0.37,0,99.52,0.86,0.24
https://www.neobund.com/detail/3335,"Smart Photochromic Polarized Sunglasses - Men's Day and Night Driving, Fishing, Riding Glasses with 0.1 Seconds Fast Lens Change\n","['Fashion Accessories', 'Eyewear', 'Sunglasses']",9.28,127,0,$5.88,98.51,0.46,0.21,100,0.46,0.39
https://www.neobund.com/detail/232,JW-2307A wireless charging with light adjustable brightness bedside night light fast charging 15W,"['Home Improvement', 'Lights & Lighting', 'Indoor Lighting', 'Wall Lighting Fixtures']",12.99,161,0,$10.30,100,0.8,0,100,0.37,0.56
https://www.neobund.com/detail/1552,"Mouse Pad with Stitched Edges and Non-Slip Rubber Base, Premium-Textured Mouse Pad for Gaming & Working, 12.6 x 10.63 x 0.16 inch (32 x 27 x 0.4 cm), Dragon Knight","['Computers & Office Equipment', 'Computer Accessories']",0.99,270,0,$4.99,100,0.16,0,100,0,0.5
https://www.neobund.com/detail/3596,DIY picture frame handprint display decorative painting freehand family memorial 10 inches,"['Toys & Hobbies', 'DIY', 'DIY Painting Supplies']",1.99,110,0,$11.00,99.56,0.58,0.66,100,0.7,0.51
https://www.neobund.com/detail/5780,"18oz,large capacity long lasting 50 hours,Glass Home Aromatherapy Candle(Winter Sage),Luxe Fragrance for Profound Relaxation & Therapeutic Bliss,Elevate Your feelings with Lasting, Soul-soothing Aroma.","['Home Supplies', 'Home Decor']",7,100,0,$6.70,100,0.78,0,100,0,0.05
https://www.neobund.com/detail/3026,Printed Flag Leggings workout yoga pants for women,"['Womenswear & Underwear', ""Women's Bottoms""]",12.99,20,0,$9.60,96.43,0.96,0,100,0.41,0.33
https://www.neobund.com/detail/4470,Tiemu combined with creative wall clock,"['Home Supplies', 'Home Decor', 'Clocks']",33.5,26,32,$15.00 - $22.00,100,0.72,0,100,0,1
https://www.neobund.com/detail/5032,"Sopami Sp7 Probiotic Toothpaste, 100G - Deep Clean & Fresh Breath, Stain Removal, Plaque Reduction, Ideal For Men & Women","['Beauty & Personal Care', 'Nasal & Oral Care']",3,6543,0,$5.50,100,0.47,0,100,1.53,1.88
https://www.neobund.com/detail/1554,"Mouse Pad with Stitched Edges and Non-Slip Rubber Base, Premium-Textured Mouse Pad for Gaming & Working, 12.6 x 10.63 x 0.16 inch (32 x 27 x 0.4 cm)，Dragon Lair","['Computers & Office Equipment', 'Computer Accessories']",0.99,273,0,$4.99,100,0.16,0,100,0,0.5
https://www.neobund.com/detail/4471,Bohemian wind and iron wood combined with creative wall clock,"['Home Supplies', 'Home Decor', 'Clocks']",33.5,30,32,$15.00 - $22.00,100,0.72,0,100,0,1
https://www.neobund.com/detail/4262,2400-piece polymer clay bead kit for DIY bracelets-20 vibrant colors flat round beads for friendship jewelry craft,"['Toys & Hobbies', 'DIY']",3,69,500,$5.00,98.53,0.43,0,100,0.03,0.03
https://www.neobund.com/detail/1555,"Mouse Pad with Stitched Edges and Non-Slip Rubber Base, Premium-Textured Mouse Pad for Gaming & Working, 12.6 x 10.63 x 0.16 inch (32 x 27 x 0.4 cm, Futuristic Metropolis","['Computers & Office Equipment', 'Computer Accessories']",0.99,277,0,$4.99,100,0.16,0,100,0,0.5
https://www.neobund.com/detail/4691,"Kitchen Rug and Mats 31.5X17.3In, Kitchen Rugs and Mats Non Skid Washable, for Kitchen Sink Side Mats, Aisle Rugs, Hallway Rugs\n","['Textiles & Soft Furnishings', 'Household Textiles', 'Carpets, Mats & Rugs']",6,180,0,$9.20,0,0,0,0,18.6,0.3
https://www.neobund.com/detail/5030,"Vintage Halloween Shower Curtain Set Black, Heavy Duty Waffle Fabric, Creepy Gothic Skeleton Skulls Bats Fun Cute Halloween Shower Curtains with Hooks Scary Spooky Horror Bathroom Decor\n","['Home Supplies', 'Bathroom Supplies', 'Shower Curtains & Rods']",6.5,24,0,$5.70,100,0.38,0,100,0.07,0.88
https://www.neobund.com/detail/3236,"Lightning In-ear Earphones Applicable iPhone14\u002F13\u002F12\u002F11\u002F7\u002F8 Plus XS,with Lightning Connector, Wired Ear Buds for iPhone with Built-in Remote to Control Music, Phone Calls, and Volume","['Phones & Electronics', 'Audio & Video', 'Earphones & Headphones', 'Wired Headphones']",6.99,797,500,$5.00,99.54,0.54,1.83,99.77,0.38,0
https://www.neobund.com/detail/3879,"Solar Street Lights Outdoor - Solar Lights Outdoor Waterproof Motion Sensor, Solar Parking Lot Lights Commercial Dusk to Dawn, LED Street Light Solar Powered for Outside, Yard","['Home Improvement', 'Lights & Lighting']",38.6-51.8,47,0,$13.00,100,0.78,0,50,0,0.13
https://www.neobund.com/detail/5170,"Magnetic Blocks - Build Mine Magnet World Magic Portal Set, Magnetic Tiles Building Blocks Toddler Toys STEM Sensory Outdoor Toys for 3+ Year Old Boys & Girls, Creative Kids Games Kids Toys","['Toys & Hobbies', 'Educational Toys']",9.99-19.99,26,0,$11.00,100,0.45,0,100,0,1.14
https://www.neobund.com/detail/5278,"Especially Yours Curly Headband Wig Shoulder-Length Layers of Natural Spiral Curls with Full, Bouncy Volume, Comfy Stretch Band\u002FRunway Shades of Black Headband Kinky Curly Synthetic Hair Wigs For African American Women 16 Inch (Black)","['Fashion Accessories', 'Hair Extensions & Wigs']",20.58,70,0,$6.70,0,0,0,0,0,0
https://www.neobund.com/detail/4653,Yvolution Kids Learner Skates Twista 7-11 US Kids Size,"['Toys & Hobbies', 'Sports & Outdoor Play', 'Ride-ons Toys']",39.99,0,0,$9.50 - $11.00,0,0,0,0,0,0.5
https://www.neobund.com/detail/5497,"VEVOR Handrails for Outdoor Steps 32\"" Wall Mount Safety Railings for 1-3 Steps","['Home Improvement', 'Building Supplies', 'Ladders']",16.44,511,0,$15.00,99.68,0.37,0,99.52,0.86,0.24
https://www.neobund.com/detail/3335,"Smart Photochromic Polarized Sunglasses - Men's Day and Night Driving, Fishing, Riding Glasses with 0.1 Seconds Fast Lens Change\n","['Fashion Accessories', 'Eyewear', 'Sunglasses']",9.28,127,0,$5.88,98.51,0.46,0.21,100,0.46,0.39
https://www.neobund.com/detail/232,JW-2307A wireless charging with light adjustable brightness bedside night light fast charging 15W,"['Home Improvement', 'Lights & Lighting', 'Indoor Lighting', 'Wall Lighting Fixtures']",12.99,161,0,$10.30,100,0.8,0,100,0.37,0.56
https://www.neobund.com/detail/1552,"Mouse Pad with Stitched Edges and Non-Slip Rubber Base, Premium-Textured Mouse Pad for Gaming & Working, 12.6 x 10.63 x 0.16 inch (32 x 27 x 0.4 cm), Dragon Knight","['Computers & Office Equipment', 'Computer Accessories']",0.99,270,0,$4.99,100,0.16,0,100,0,0.5
https://www.neobund.com/detail/3596,DIY picture frame handprint display decorative painting freehand family memorial 10 inches,"['Toys & Hobbies', 'DIY', 'DIY Painting Supplies']",1.99,110,0,$11.00,99.56,0.58,0.66,100,0.7,0.51
https://www.neobund.com/detail/5780,"18oz,large capacity long lasting 50 hours,Glass Home Aromatherapy Candle(Winter Sage),Luxe Fragrance for Profound Relaxation & Therapeutic Bliss,Elevate Your feelings with Lasting, Soul-soothing Aroma.","['Home Supplies', 'Home Decor']",7,100,0,$6.70,100,0.78,0,100,0,0.05
https://www.neobund.com/detail/3026,Printed Flag Leggings workout yoga pants for women,"['Womenswear & Underwear', ""Women's Bottoms""]",12.99,20,0,$9.60,96.43,0.96,0,100,0.41,0.33
https://www.neobund.com/detail/4470,Tiemu combined with creative wall clock,"['Home Supplies', 'Home Decor', 'Clocks']",33.5,26,32,$15.00 - $22.00,100,0.72,0,100,0,1
https://www.neobund.com/detail/5032,"Sopami Sp7 Probiotic Toothpaste, 100G - Deep Clean & Fresh Breath, Stain Removal, Plaque Reduction, Ideal For Men & Women","['Beauty & Personal Care', 'Nasal & Oral Care']",3,6543,0,$5.50,100,0.47,0,100,1.53,1.88
