商品链接,商品名称,商品类目,价格,联系方式,仓库地址,在库库存,在途库存,运费,准时交货率,准时处理时间/工作日,退款率,订单完成率,缺货程度,关键信息变更次数
https://www.neobund.com/detail/3486,"Camping Chair, Folding Chair,Outdoor Camping Folding Aluminium Alloy ChairOutdoor Portable Aluminium Alloy Folding Chair Kinkemite Folding ChairSpring Beach ChairCamping Folding Stool","['Sports & Outdoor', 'Camping & Hiking Equipment', 'Camping Furniture']",20-35,+1 909 319 3819,"9863 , Acacia St，unit 135 Rancho Cucamonga, CA 91730, Cucamonga, California",200,0,$13.00 - $15.00,100,0.8,0,100,0.17,0.68
https://www.neobund.com/detail/2576,1 piece 24-inch ceramic thin-edged basin Modern bathroom cabinet basin Toilet bathroom wash basin rectangular bright white,"['Home Improvement', 'Bathroom Fixtures', 'Bathroom Sinks']",27.7,+1 818 805 8515,"2180 South Wineville Avenue, 2180 South Wineville Avenue, Ontario, California",0,20,$30.00,99.28,0.65,0,99.98,0.25,0.44
https://www.neobund.com/detail/7685,"VEVOR 70L 18.5Gal Water Alcohol Distiller 304 Stainless Steel Alcohol Still Wine Making Boiler Home Kit with Thermometer for Whiskey Brandy Essential, Sliver","['Kitchenware', 'Drinkware']",210.14,+1 234 567 8999,"1, 200 Docks Corner Road, Dayton, New Jersey",205,0,$15.00,99.54,0.31,0,99.98,0.78,0.1
https://www.neobund.com/detail/1042,"Stair Stepper with Resistance Upgraded Stair Stepper Machine with 10DB Super Quiet, Air-Powered Mini Stepper with Resistance,Air-Powered Twist Stepper for Full Body Workout","['Sports & Outdoor', 'Fitness Equipment']",40,+1 626 313 7268,"9935, Beverly Blvd Unit 3, Pico Rivera, California",99,0,$12.00,99.4,0.59,0,100,0,0.25
https://www.neobund.com/detail/6464,"2pcs Cut Resistant Farmers Sleeves with Thumb Hole, Anti Abrasion for Thin Skin, Gardening, Welding, Kitchen, Arm Guards for Biting, Pet Grooming and More","['Tools & Hardware', 'Garden Tools', 'Gardening Gloves & Protective Gear']",5.45-5.85,暂无,暂无,114,0,$4.50,100,0.54,0,100,0.57,0.8
https://www.neobund.com/detail/5831,"H4 Foldable HD Camera Drone with Adjustable Lens - 360° Active Obstacle Avoidance, Altitude Hold, Headless Mode, and USB Charging","['Phones & Electronics', 'Cameras & Photography', 'Drones & Accessories']",56,+1 909 529 3196,"C\u002FO, 2221 Remington Ave, Ontario, California",29,200,$8.50,100,0.25,0.02,100,0.42,0.34
https://www.neobund.com/detail/4878,"9 piece Hip Hop baseball cap - high quality fabric, comfortable fit to enhance your fashion atmosphere","['Fashion Accessories', 'Clothes Accessories']",41.84,+1 469 268 7109,"1400 Summit Ave suite A, 1400 Summit Ave suite A, Plano, Texas",1000,0,$9.90,99.28,0.65,0,99.98,0.25,0.44
https://www.neobund.com/detail/5375,30 inch Braided Wigs for Black Women Full Lace Front Box Braided\n Wig KnotlessBraided Wigs Lightweight Braids Synthetic Lace Front Wig\n  Black  plus light brown Hand Braided \nWigs With Baby Hair synthetic wig,"['Fashion Accessories', 'Hair Extensions & Wigs']",24,+1 646 886 9969,"62, 62 Lincoln RD  W  Plainview, NY, New York",50,0,$9.20,0,0,0,0,0,0
https://www.neobund.com/detail/4501,"(ESB-0.5+0.75)Pull Up Assist Bands | Heavy Duty Resistance Straps | Latex Exerceise Bands for Body Stretching, Powerlifting, Resistance Training","['Sports & Outdoor', 'Fitness Equipment']",10.5,+1 714 533 8118,"1428, W. Central Park Ave. S., Anaheim, California",50,0,$9.00,100,0.6,0.01,100,0.1,0.15
https://www.neobund.com/detail/2149,8-Piece Ins South American Style Beaded Bracelet Vintage Ethnic Style Handmade Woven Factory Direct Sales Bead Small Bracelet,"['Jewelry Accessories & Derivatives', 'Artificial Gemstones']",3,暂无,暂无,0,500,$5.00,98.92,0.58,0,100,0.03,0.03
