user_name,conmment
用心兑你,这么好听，一点都不烂，比野路耐听多了。
在海防听音乐的散尾葵,商单而已别在意[流泪]
奥特曼不怕死,许嵩为数不多的烂歌
十里慕清欢,嵩哥冲冲冲，揽仙歌好听🥰
傻傻傻傻柔,勇敢勇敢我的朋友
ABSTURN,啊啊啊啊新歌榜质量一般啊[流泪]
Yiy_lf,笔记黑胶自取
玉京子xc,黑胶自取[爱心]
白桃-认证歌手,[流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪]
心随风起向云端,快来听《放手才是最不舍的爱》我听完彩票中奖了，听了的朋友都好运连连[爱心][爱心][爱心]
白开水pp,黑胶会员我的个人笔记里自取哈我的新专辑和同名歌曲《爱曾伤过你也教会你》发布啦，跪求大家支持，绝对好听！祝大家家人健康，爱情美满，暴富爆好运~~~~
浊淳,蹲一个一起听歌的小姐姐  可以送你黑胶[呲牙]
In-Hoc-Signo-Vinces-,排行榜都是些什么歌？我的老天爷呀，太难听了
吧嘟嘟山上的小可爱,排行榜都是些什么歌？我的老天爷呀，太难听了
本瑄不想写作业,我爱你
空刻牌-Kpai,刚刚更新！
莫岑离,好听爱听
莫岑离,好听爱听
燃帝殿下,快乐无价
身如山立,我私你！
跳动的点,不理解，石混其中
云烟成雨syxdd,听歌的人你现在过的还好吗   其实我们都在为生活而努力  愿各位安好 
W1LDFL0W3R,拉拉打雷[爱心]
小洁0327,古风
A一座围城,也听听我的吧，惊艳不敢说，但能惊死人。
紫悦-水袖流音,我的新歌《佛怒火莲》斗破苍穹三年之约同人曲，欢迎收听
薄情是首歌,这些歌都是什么牛鬼蛇神
白开水pp,我的新歌《爱曾伤过你也教会你》发布啦，跪求大家支持，绝对好听！祝大家家人健康，爱情美满，暴富爆好运~~~~需要黑胶会员的主页笔记自取~~
Jealous_luck,一遍烧去
白开水pp,我的新歌《爱曾伤过你也教会你》发布啦，跪求大家支持，绝对好听！祝大家家人健康，爱情美满，暴富爆好运~~~~
你该吃夜宵了,一堆构式
绵ovo绵,想看加
耶椰_V5MH,哎呦我去力宏可以呀
小狐狸de爱,5555555555555突然烦烦烦烦烦烦
缱绻去时书,肯定是啦，网易云也要赚钱，好多垃圾口水歌都上榜了
