歌曲名,时长,作者,专辑
Everybody Dies In Their Nightmares,1:35,XXXTENTACION,17
whoa (mind in awe),2:37,XXXTENTACION,SKINS
Jocelyn Flores,1:59,XXXTENTACION,17
Sad!,2:46,XXXTENTACION,Sad!
NUMB,3:6,XXXTENTACION,?
Ecstasy,4:0,XXXTENTACION,Bad Vibes Forever
changes,2:1,XXXTENTACION,changes
Ex B***h,2:1,XXXTENTACION,Bad Vibes Forever
the remedy for a broken heart (why am I so in love),2:40,XXXTENTACION,? (Deluxe)
SAD!,2:46,XXXTENTACION,?
True Love,2:28,Kanye West,True Love
Hope,1:45,XXXTENTACION,Hope
**** Love,2:26,XXXTENTACION,17
Moonlight,2:15,XXXTENTACION,?
Scared of the Dark,3:53,Lil Wayne,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture)
XXXTENTACION - whoa (mind in awe) (Instrumental),2:41,Beats helper,LOVE IS WAR
Changes (Seizure Remix),2:5,Seizure,Changes (Seizure Remix)
Look At Me!,2:31,XXXTENTACION,Look At Me!
insecure (ocean mix),3:16,Ocean,insecure (ocean mix)
bad vibes forever,2:30,XXXTENTACION,Bad Vibes Forever
what are you so afraid of,2:30,XXXTENTACION,SKINS
Falling Down,3:16,Lil Peep,Falling Down
Carry On,2:9,XXXTENTACION,17
Revenge,2:0,XXXTENTACION,17
NO PULSE,3:33,XXXTENTACION,NO PULSE
Pain = BESTFRIEND,1:41,XXXTENTACION,?
difference (interlude),1:16,XXXTENTACION,SKINS
BAD!,1:34,XXXTENTACION,SKINS
In The End,1:30,XXXTENTACION,In The End
God Bless The Dead (prod.DJ FORGOTTEN),3:3,2Pac,God Bless The Dead (prod.DJ FORGOTTEN)
Save Me,2:43,XXXTENTACION,17
Riot,1:18,XXXTENTACION,Riot
$$$,2:10,XXXTENTACION,? (Deluxe)
voice memo 6: changes,3:29,XXXTENTACION,? (Deluxe)
VOICES (feat. XXXTENTACION),2:35,Skye,VOICES (feat. XXXTENTACION)
Again (Alan Walker Remix),2:45,Noah Cyrus,Again (Alan Walker Remix)
before I close my eyes,1:39,XXXTENTACION,?
Depression & Obsession,2:24,XXXTENTACION,17
I don't wanna do this anymore,1:27,XXXTENTACION,I don't wanna do this anymore
Gospel,2:53,Rich Brian,Gospel
Kill My Vibe,2:8,XXXTENTACION,Bad Vibes Forever
Freddy Vs Jason,1:43,XXXTENTACION,Free X
Father Forgive Me (Xxxtentacion type beat),3:38,Hunukaa,Father Forgive Me (Xxxtentacion type beat)
Triumph,2:46,XXXTENTACION,Bad Vibes Forever
I don't let go,2:1,XXXTENTACION,SKINS
Orlando,2:43,XXXTENTACION,17
Take A Step Back,3:30,Ski Mask the Slump God,Take A Step Back
vice city,3:40,XXXTENTACION,LOOK AT ME: THE ALBUM.
mure,4:4,hideyuki hashimoto,room
Jovial,2:22,yiit242,Jovial
ζ,3:7,α·Pav,Pavonis ~ Piano Collection II ~
Nardia,3:8,hideyuki hashimoto,Nardia
棠梨煎雪,4:5,银临,腐草为萤
尘世美,4:19,许嵩,许嵩单曲集
采茶纪,3:27,双笙（陈元汐）,采茶纪
你若成风,3:41,许嵩,乐酷
【三畿道】九九八十一（Cover 西瓜Kune）,4:45,三畿道,三畿道
七夕,3:53,许嵩,不如吃茶去
唯你懂我心,4:31,汪苏泷,慢慢懂
胸前,3:26,徐良,犯贱
美瞳,3:59,徐良,徐良原创合集
情话,3:58,徐良,北京巷弄
电话里的秘密,3:55,徐良,不良少年
北京巷弄,3:53,徐良,北京巷弄
友情出演,3:19,徐良,不良少年
飞机场,3:41,徐良,飞机场
他的猫,3:38,徐良,情话
红装,4:6,徐良,犯贱
七秒钟的记忆,3:22,徐良,情话
客官不可以,3:50,徐良,犯贱
后会无期,3:26,徐良,不良少年
有何不可,4:1,许嵩,自定义
想象之中,4:9,许嵩,苏格拉没有底
只爱火星人,4:10,后弦,古.玩
逃学书童,4:46,后弦,古.玩
坏女孩,4:2,徐良,不良少年
断桥残雪,3:47,许嵩,断桥残雪
素颜,3:58,许嵩,素颜
玫瑰花的葬礼,4:20,许嵩,许嵩单曲集
单车恋人,4:9,后弦,9公主
西厢,4:23,后弦,古.玩
liability (demo),2:53,Tove Styrke,liability (demo)
前前前世 (movie ver.),4:44,RADWIMPS,君の名は。
かたわれ時,2:47,RADWIMPS,君の名は。
三葉のテーマ,4:3,RADWIMPS,君の名は。
なんでもないや (movie ver.),5:41,RADWIMPS,君の名は。
スパークル (movie ver.),8:54,RADWIMPS,君の名は。
夢灯籠,2:8,RADWIMPS,君の名は。
缸,3:6,草东没有派对,瓦合
吕梦江,4:42,南青乐队,我在三月的早晨看到了七月的黄昏
复写 (More),3:7,VH (Vast & Hazy),文明
郊游,4:34,蛙池,郊游
8+8=8,5:38,岛屿心情,岛屿心情
我爱你，却不能拯救你,6:7,好乐团,至少我想感同你的身受
如瓮,3:51,石岩,南吹先生
河流 demo,4:0,蛙池,河流 demo
我也曾经想过这样杀了我自己,4:49,南西肯恩,你是平静的
要死就一定要死在你手里,3:32,莫西子诗,中国好歌曲第一季 第二期
十万嬉皮,4:44,万能青年旅店,万能青年旅店 同名专辑
大石碎胸口,7:3,万能青年旅店,万能青年旅店 同名专辑
浪流连,4:13,茄子蛋,我们以后要结婚
都选C,2:57,赵英俊,以电影的名义歌唱
鲜花,5:41,回春丹,鲜花
⛲️,1:53,ZzHhOoUuZzHhAaNnGgYu,ZzHhOoUuZzHhAaNnGgYu
情歌,4:16,草东没有派对,丑奴儿
放空,5:2,老破麻 O.S.D,Extended Play
Chicago Freestyle,3:40,Drake,Dark Lane Demo Tapes
没有理想的人不伤心,5:41,新裤子,生命因你而火热
我要你看穿我不是杀了我,2:42,悲伤玩具,我要你看穿我不是杀了我
爱人,5:11,莉莉周她说 Lily Chou-Chou Lied,大预言家
水漫金山寺,4:43,裁缝铺,水漫金山寺
永动交车,3:9,30年前，50年后,丧失年轻，勿失年华
迷恋,6:31,梅卡德尔,梅卡德尔
花桥,3:11,回春丹,耳鬼出风
精卫,2:56,30年前，50年后,丧失年轻，勿失年华
對不起我做不到答應了你的事,4:40,康士坦的变化球,更迭
东海老人,4:4,裁缝铺,东海老人
皮囊,3:54,犬儒乐队,犬儒
我想去跨越你离我很近但又像相隔一万里的河,3:50,悲伤玩具,我想去跨越你离我很近但又像相隔一万里的河
志铭,5:6,犬儒乐队,犬儒
推拿,3:12,30年前，50年后,丧失年轻，勿失年华
八,3:46,草东没有派对,瓦合
烂泥,2:29,草东没有派对,丑奴儿
山海,4:11,草东没有派对,丑奴儿
但,2:22,草东没有派对,瓦合
大风吹,3:56,草东没有派对,丑奴儿
鬼,2:40,草东没有派对,丑奴儿
北极,2:38,曾雪雅,北极
"Ich bin Himmel, wenn ich den Himmel liebe (feat. Seraphina Theresa)",2:42,Sergio Díaz De Rojas,The Morning Is a River
isolated,2:21,sohayl ryder,isolated
Goodnight (feat. Ivri),2:57,ondi vil,Alone in a Room Full of Painful Thoughts
us,2:10,4oot,us
=̴̶̷̤̄,3:10,沙皮,晚安
愛,3:14,Xero,愛
纯 粹 的 想 象 pureImagination （ROOK1E）,2:46,马帅,Titanic.
Endless Love,3:52,ZRobb,Racing
snowfall,2:4,Øneheart,snowfall
4. 佳期不可再（Skit）,2:45,刈泽liltay,缺时间的人
and i love you so,1:19,Rook1e,and i love you so
Lost my pieces,2:1,橋本由香利,とらドラ! オリジナル・サウンドトラック
我只有你，你卻從來沒有認識過我,2:59,heaten_,我只有你，你卻從來沒有認識過我
最後 宁還是選擇和ta在一起,2:12,ZEU$YEAH,U R Nonchalant
你救了我，我将娶你为妻,2:58,三册柏,酒井法子与螃蟹王子
nemurini,7:25,macaroom,official bootleg(a)
星期天的下午,1:36,陈绮贞,Demo 3
I DONT UNDERSTAND YOU,1:55,kuudere,I DONT UNDERSTAND YOU
モノローグドラマ「催涙雨のパドル」,4:33,花澤香菜,TVアニメ「シュタインズ・ゲート ゼロ」オリジナルサウンドトラック
森の神,1:37,やくしまるえつこ,やくしまるえつこ朗読CD
I'm so nervous,2:2,Frrb,I'm so nervous
ハートビート（恋途未卜）,4:49,wungu lan klein,ハートビート（恋途未卜）
˃̶͈◡ ˂̶͈,2:56,闪电星,S U M M A R I Z E
零零星星的屋顶，阳台，饮水机里 （About Growth）,3:16,陈越龙,特立独行的“ ”
关于贾宏声,5:0,Aliosha,Quitting
I can't love you at first sight,2:48,heaten_,I can't love you at first sight
コンプリケイション -Acoustic lyrics reading-,3:18,ROOKiEZ is PUNK'D,DRRROOKiEZ!! -ROOKiEZ is PUNK'D respect for DRRR!!-
贾想,3:0,Aliosha,Jia Zhangke
初 雪 が 溶 け る 前 に,2:10,minicat,初 雪 が 溶 け る 前 に
08 罗依的诗,1:20,三册柏,宝藏山中
樱不及落,2:15,999NOReason,樱不及落
堕 落 天 使 の 爱,3:12,heaten_,堕 落 天 使 の 爱
龙与虎,2:27,Seto,龙与虎
氷の舟が行くところ,4:35,能登麻美子,時のしおり
I walk in rain.1,2:9,拿花负荷,I walk in rain.
leaping through time,2:13,stream_error,leaping through time
i don't love you anymore,1:47,erc grcc,i don't love you anymore
零 零 发,2:36,秦小站,保龙一族零零发
Ten years later,2:14,minicat,Ten years later
像 你 在 的 时 候 一 样,2:46,21st Century Schizoid Man,像你在的时候一样
のすたるぢやの青い猫,4:6,能登麻美子,時のしおり
crevasse,3:49,Chouchou,oort
一 一,3:11,Aliosha,A One and a Two
They Don't Need Me,1:35,Sarcastic Sounds,They Don't Need Me
现 在 的 你,2:56,21st Century Schizoid Man,现 在 的 你
你不能同时喜欢两个人的菜,2:30,weloveminz,你不能同时喜欢两个人的菜
02 苏州河（prod. by 三册柏）,4:15,三册柏,世纪开心馆
藍色大門,2:5,Motive蓝吉,青春物语
04 有些答案不必等,5:38,三册柏,三册柏2020
苏州河,5:20,Aliosha,SuZhou He
陌生女人的来信,4:39,UmzBeatz,陌生女人的来信
夏宫,6:23,Aliosha,Summer Palace
郊游,4:34,蛙池,郊游
虞美人,0:20,池鱼,池鱼的翻唱专辑
Woven Song,3:10,Ólafur Arnalds,Woven Song
Need You Here,2:29,Alfonse,Need You Here
elokuu,1:25,olli,elokuu
I hate you.,2:21,HAUS,I hate you.
saturdaycartoons,2:3,geerad,saturdaycartoons
Another,2:57,Zdeněk Gromnica,Dusk
: (,3:12,SLIGHT,: (
Leave me along,2:51,Die-OverXYC,Leave me along
我 给 你 看 个 人 他 好 久 没 笑 了,3:58,Mei,我 给 你 看 个 人 他 好 久 没 笑 了
Falling for U,2:4,Peachy!,Falling for U
why do i love you,1:17,eel.,why do i love you
MELANCHOLY,2:8,White Cherry,MELANCHOLY
✘ 申 請 批 准 人 間 長 假,3:7,Mei,✘ 申 請 批 准 人 間 長 假
let me know,2:16,ondi vil,let me know
ＬＯＳＴ,2:43,TRA$H,ＬＯＳＴ
你 看 起 來 就 很 好 吃,3:3,银河对视,F L I P P E D
Loosing Control,4:40,Nell,Slip Away
shelter,1:45,hakaisu,shelter
Wasting,6:16,4oot,Breaking
Strange Sensation,1:11,xfruge,Strange Sensation
days with you,2:34,Slipfunc,days with you
☔,2:2,Aziry,4.14
想 在 每 個 朦 朧 的 夜 幕 下 擁 抱 妳,3:2,BlueLee,Lofi 《Hazy Night》
原来你一直都不曾存在于这个世界上过哪怕一分一秒,3:51,金克斯的地下情人,原来你一直都不曾存在于这个世界上过哪怕一分一秒
Why did you enter in my life ?,2:51,cxld blxxd,Why did you enter in my life ?
l o f i l o v e,2:20,Seto,l o f i l o v e
zzz,3:35,Bye Mugen,zzz
你再也读不出我任何欲望,3:0,Cicada,Pieces
♡,4:39,Xxankid,♡
你甚至都没把我当成故事讲给别人听。,3:26,WJCTION,你甚至都没把我当成故事讲给别人听
so far away,2:9,elijah who,new feelings
i dont care about anything anymore,2:30,tazz,i dont care about anything anymore
❄️,2:44,莆嵬,＊
♬☹☁SVD GIRL☁☹♬,1:50,WitekProdukcje,♬☹☁SVD GIRL☁☹♬
⊗,2:34,Seto,Free emo beat
NUMB,3:6,XXXTENTACION,?
Patience,1:45,TRA$H,AWAKE Vol. 2
ＡＷＡＫＥ,2:37,TRA$H,Awake Vol. 1
Birds,2:13,wünsche,Birds
