name,价格,链接
"PELADN WI-6 迷你电脑,英特尔第 12 代 Alder Lake- N100(高达 3.4GHz),16GB DDR4 RAM 512GB M.2 PCIe 固态硬盘,台式电脑支持 4K 双显示器/USB3.2/WiFi 5/BT4.2",US$159.99,https://www.amazon.com/-/zh/sspa/click?ie=UTF8&spc=MTo0ODUxOTg4MDEyODU1MTIyOjE3MzI1MjUwODU6c3BfYXRmOjMwMDI5ODE0MTIwMzQwMjo6MDo6&url=%2Fdp%2FB0CJBQD4DC%2Fref%3Dsr_1_1_sspa%3F__mk_zh_CN%3D%25E4%25BA%259A%25E9%25A9%25AC%25E9%2580%258A%25E7%25BD%2591%25E7%25AB%2599%26crid%3D36LGZVZRFXCYL%26dib%3DeyJ2IjoiMSJ9.H9lHYnH5_gpu1NjWw0k-hAqkdi7j3b28DLINNbR8WyjGjHj071QN20LucGBJIEps.i19MWreP0M3CXPBzSQ9FOeihSki6zwJQnrRwLyTNs7g%26dib_tag%3Dse%26keywords%3D%25E7%2594%25B5%25E8%2584%2591%26qid%3D1732525085%26sprefix%3Ddiannao%252Caps%252C321%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"HP EliteDesk 800 G8 商务迷你电脑台式机,英特尔八核 i7-11700T 高达 4.6GHz,32GB DDR4 内存,1TB PCIe 固态硬盘,WiFi,蓝牙,Type-C,键盘和鼠标, Windows 11 Pro,Tilsiy 电缆",US$589.00,https://www.amazon.com/-/zh/sspa/click?ie=UTF8&spc=MTo0ODUxOTg4MDEyODU1MTIyOjE3MzI1MjUwODU6c3BfYXRmOjMwMDEzMDM4MzQ5MTAwMjo6MDo6&url=%2Fdp%2FB0CRL3Z7DJ%2Fref%3Dsr_1_2_sspa%3F__mk_zh_CN%3D%25E4%25BA%259A%25E9%25A9%25AC%25E9%2580%258A%25E7%25BD%2591%25E7%25AB%2599%26crid%3D36LGZVZRFXCYL%26dib%3DeyJ2IjoiMSJ9.H9lHYnH5_gpu1NjWw0k-hAqkdi7j3b28DLINNbR8WyjGjHj071QN20LucGBJIEps.i19MWreP0M3CXPBzSQ9FOeihSki6zwJQnrRwLyTNs7g%26dib_tag%3Dse%26keywords%3D%25E7%2594%25B5%25E8%2584%2591%26qid%3D1732525085%26sprefix%3Ddiannao%252Caps%252C321%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"惠普 Stream 14 英寸高清 BrightView 笔记本电脑,英特尔赛扬 N4120,16GB 内存,288GB 存储空间(128GB eMMC + 160GB 扩展坞套装),英特尔超高清显卡,720p 网络摄像头,无线网络连接,1 年休息 ice 365, ice 3Win 11 S,银色",US$262.65,https://www.amazon.com/-/zh/dp/B0CZKPF2QH/ref=sr_1_3?__mk_zh_CN=%E4%BA%9A%E9%A9%AC%E9%80%8A%E7%BD%91%E7%AB%99&crid=36LGZVZRFXCYL&dib=eyJ2IjoiMSJ9.H9lHYnH5_gpu1NjWw0k-hAqkdi7j3b28DLINNbR8WyjGjHj071QN20LucGBJIEps.i19MWreP0M3CXPBzSQ9FOeihSki6zwJQnrRwLyTNs7g&dib_tag=se&keywords=%E7%94%B5%E8%84%91&qid=1732525085&sprefix=diannao%2Caps%2C321&sr=8-3
惠普 Chromebook 14 英寸笔记本电脑、FHD 显示屏、Intel N100、4 GB 内存、64 GB emMC、Intel UHD 显卡、Chrome OS 14a-nf009nr (2024),US$209.00,https://www.amazon.com/-/zh/dp/B0D1548FK1/ref=sr_1_4?__mk_zh_CN=%E4%BA%9A%E9%A9%AC%E9%80%8A%E7%BD%91%E7%AB%99&crid=36LGZVZRFXCYL&dib=eyJ2IjoiMSJ9.H9lHYnH5_gpu1NjWw0k-hAqkdi7j3b28DLINNbR8WyjGjHj071QN20LucGBJIEps.i19MWreP0M3CXPBzSQ9FOeihSki6zwJQnrRwLyTNs7g&dib_tag=se&keywords=%E7%94%B5%E8%84%91&qid=1732525085&sprefix=diannao%2Caps%2C321&sr=8-4
"Lenovo 联想 IdeaPad 3i Chromebook,15.6 英寸全高清显示屏,英特尔赛扬 N4500,8GB 内存,64GB eMMC,1920x1080 px,720p 摄像头,Chrome 操作系统,深海蓝",US$149.99,https://www.amazon.com/-/zh/dp/B0BSJ46KY9/ref=sr_1_5?__mk_zh_CN=%E4%BA%9A%E9%A9%AC%E9%80%8A%E7%BD%91%E7%AB%99&crid=36LGZVZRFXCYL&dib=eyJ2IjoiMSJ9.H9lHYnH5_gpu1NjWw0k-hAqkdi7j3b28DLINNbR8WyjGjHj071QN20LucGBJIEps.i19MWreP0M3CXPBzSQ9FOeihSki6zwJQnrRwLyTNs7g&dib_tag=se&keywords=%E7%94%B5%E8%84%91&qid=1732525085&sprefix=diannao%2Caps%2C321&sr=8-5
"华硕 Vivobook Go 15.6 英寸 FHD 超薄笔记本电脑,AMD 锐龙 3 7320U 四核处理器,8GB DDR5 内存,128GB 固态硬盘,Windows 1 家庭,快速充电,网络摄像头屏蔽,混合黑色,E1504FA-AS33",US$199.99,https://www.amazon.com/-/zh/dp/B0CWHYV27D/ref=sr_1_1?__mk_zh_CN=%E4%BA%9A%E9%A9%AC%E9%80%8A%E7%BD%91%E7%AB%99&crid=36LGZVZRFXCYL&dib=eyJ2IjoiMSJ9.rpehTHXIWT0OwsSOVVRQnRsCxr0X_Jc9QDNXtPkwvJwytm5zvQ8CWs8rbHuDiV7RnAtXQM99mBJC-Y4cBKPmvRq3qahufr1OVxvE-uXzFPfU5lrfwFfvQP4jEeG7WRZ7EQwrE54xZHmXbD5CYJMgKj4LXXKz4hBMhod0fLRi_9hf5Q1VdrSRrL-bMzhenP1o.1l67_fWN_bDwxgqDxzoZLeVtCd7hCZZkmNirETUE8ws&dib_tag=se&keywords=%E7%94%B5%E8%84%91&qid=1732525085&sprefix=diannao%2Caps%2C321&sr=8-1
Lenovo 联想 IdeaPad Slim 3 Chromebook - 2024 - 轻质笔记本电脑 - Waves MaxxAudio® 扬声器 - 14 英寸高清显示屏 - 高清 720p 摄像头 - 4GB 内存 - 64GB 存储 - 联发科技 Kompanio 520 - Abyss 蓝色,US$179.99,https://www.amazon.com/-/zh/sspa/click?ie=UTF8&spc=MTo0ODUxOTg4MDEyODU1MTIyOjE3MzI1MjUwODU6c3BfbXRmOjMwMDQ1MTkyMzQzNzQwMjo6MDo6&url=%2Fdp%2FB0D5HZVQDL%2Fref%3Dsr_1_2_sspa%3F__mk_zh_CN%3D%25E4%25BA%259A%25E9%25A9%25AC%25E9%2580%258A%25E7%25BD%2591%25E7%25AB%2599%26crid%3D36LGZVZRFXCYL%26dib%3DeyJ2IjoiMSJ9.rpehTHXIWT0OwsSOVVRQnRsCxr0X_Jc9QDNXtPkwvJwytm5zvQ8CWs8rbHuDiV7RnAtXQM99mBJC-Y4cBKPmvRq3qahufr1OVxvE-uXzFPfU5lrfwFfvQP4jEeG7WRZ7EQwrE54xZHmXbD5CYJMgKj4LXXKz4hBMhod0fLRi_9hf5Q1VdrSRrL-bMzhenP1o.1l67_fWN_bDwxgqDxzoZLeVtCd7hCZZkmNirETUE8ws%26dib_tag%3Dse%26keywords%3D%25E7%2594%25B5%25E8%2584%2591%26qid%3D1732525085%26sprefix%3Ddiannao%252Caps%252C321%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
宏碁 Aspire 3 A315-24P-R7VH 超薄笔记本电脑 | 15.6 英寸全高清 IPS 显示屏 | AMD 锐龙 3 7320U 四核处理器 | AMD Radeon 显卡 | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 S 模式的家庭,US$279.99,https://www.amazon.com/-/zh/dp/B0BS4BP8FB/ref=sr_1_3?__mk_zh_CN=%E4%BA%9A%E9%A9%AC%E9%80%8A%E7%BD%91%E7%AB%99&crid=36LGZVZRFXCYL&dib=eyJ2IjoiMSJ9.rpehTHXIWT0OwsSOVVRQnRsCxr0X_Jc9QDNXtPkwvJwytm5zvQ8CWs8rbHuDiV7RnAtXQM99mBJC-Y4cBKPmvRq3qahufr1OVxvE-uXzFPfU5lrfwFfvQP4jEeG7WRZ7EQwrE54xZHmXbD5CYJMgKj4LXXKz4hBMhod0fLRi_9hf5Q1VdrSRrL-bMzhenP1o.1l67_fWN_bDwxgqDxzoZLeVtCd7hCZZkmNirETUE8ws&dib_tag=se&keywords=%E7%94%B5%E8%84%91&qid=1732525085&sprefix=diannao%2Caps%2C321&sr=8-3
宏碁 Gateway Chromebook 311 CBO311-1H-C1MX 笔记本电脑 | 英特尔赛扬 N4500 | 11.6 英寸高清 (1366 x 768) 显示屏 | 4GB LPDDR4X | 64GB eMMC | Wi-Fi 5 802.11ac | Chrome 操作系统 | 星黑,US$147.99,https://www.amazon.com/-/zh/dp/B0D33NC672/ref=sr_1_4?__mk_zh_CN=%E4%BA%9A%E9%A9%AC%E9%80%8A%E7%BD%91%E7%AB%99&crid=36LGZVZRFXCYL&dib=eyJ2IjoiMSJ9.rpehTHXIWT0OwsSOVVRQnRsCxr0X_Jc9QDNXtPkwvJwytm5zvQ8CWs8rbHuDiV7RnAtXQM99mBJC-Y4cBKPmvRq3qahufr1OVxvE-uXzFPfU5lrfwFfvQP4jEeG7WRZ7EQwrE54xZHmXbD5CYJMgKj4LXXKz4hBMhod0fLRi_9hf5Q1VdrSRrL-bMzhenP1o.1l67_fWN_bDwxgqDxzoZLeVtCd7hCZZkmNirETUE8ws&dib_tag=se&keywords=%E7%94%B5%E8%84%91&qid=1732525085&sprefix=diannao%2Caps%2C321&sr=8-4
"ACEMAGIC 2024 最新 17.3 英寸笔记本电脑,全高清显示屏笔记本电脑,带四核 - 第 12 阿尔德湖 N97(高达 3.6GHz),6000 毫安电池,16GB RAM 512GB ROM 商务笔记本电脑。",US$399.99,https://www.amazon.com/-/zh/dp/B0DKDV6QS6/ref=sr_1_5?__mk_zh_CN=%E4%BA%9A%E9%A9%AC%E9%80%8A%E7%BD%91%E7%AB%99&crid=36LGZVZRFXCYL&dib=eyJ2IjoiMSJ9.rpehTHXIWT0OwsSOVVRQnRsCxr0X_Jc9QDNXtPkwvJwytm5zvQ8CWs8rbHuDiV7RnAtXQM99mBJC-Y4cBKPmvRq3qahufr1OVxvE-uXzFPfU5lrfwFfvQP4jEeG7WRZ7EQwrE54xZHmXbD5CYJMgKj4LXXKz4hBMhod0fLRi_9hf5Q1VdrSRrL-bMzhenP1o.1l67_fWN_bDwxgqDxzoZLeVtCd7hCZZkmNirETUE8ws&dib_tag=se&keywords=%E7%94%B5%E8%84%91&qid=1732525085&sprefix=diannao%2Caps%2C321&sr=8-5
"HP 惠普 15.6 FHD 旗舰商用笔记本电脑,32GB 内存,1TB PCIe SSD,第 12 代 Intel 10 核 i5-1235U(Beat i7-1195G7),Iris Xe 显卡,蓝牙,HDMI,WiFi 5,Win 11, w /GM 配件 ies",US$476.99,https://www.amazon.com/-/zh/dp/B0DBZ6Z71D/ref=sr_1_6?__mk_zh_CN=%E4%BA%9A%E9%A9%AC%E9%80%8A%E7%BD%91%E7%AB%99&crid=36LGZVZRFXCYL&dib=eyJ2IjoiMSJ9.rpehTHXIWT0OwsSOVVRQnRsCxr0X_Jc9QDNXtPkwvJwytm5zvQ8CWs8rbHuDiV7RnAtXQM99mBJC-Y4cBKPmvRq3qahufr1OVxvE-uXzFPfU5lrfwFfvQP4jEeG7WRZ7EQwrE54xZHmXbD5CYJMgKj4LXXKz4hBMhod0fLRi_9hf5Q1VdrSRrL-bMzhenP1o.1l67_fWN_bDwxgqDxzoZLeVtCd7hCZZkmNirETUE8ws&dib_tag=se&keywords=%E7%94%B5%E8%84%91&qid=1732525085&sprefix=diannao%2Caps%2C321&sr=8-6
