name,价格,链接
"跳线式笔记本电脑 12GB RAM 512GB SSD,笔记本电脑带办公室365 一年,FHD 1920x1080显示屏,赛扬N4000 CPU,35.52WH 电池,2.4G+5G WiFi,BT4.0,2 个扬声器,便携式 4 英寸 笔记本电脑。",US$249.99,https://www.amazon.com/-/zh/sspa/click?ie=UTF8&spc=MTo1NTU4NTA5MTU3ODAzMDkxOjE3MzI1MzAzNTk6c3BfYXRmOjMwMDU1NDkxNjE4MDkwMjo6MDo6&url=%2Fdp%2FB0DJ23VWWL%2Fref%3Dsr_1_1_sspa%3F__mk_zh_CN%3D%25E4%25BA%259A%25E9%25A9%25AC%25E9%2580%258A%25E7%25BD%2591%25E7%25AB%2599%26crid%3D36LGZVZRFXCYL%26dib%3DeyJ2IjoiMSJ9.H9lHYnH5_gpu1NjWw0k-hPxoUeVx9WBKzf2gKH6ocU3GjHj071QN20LucGBJIEps.hE-yFWy_SPhPlr_ophG4t7OxBWGb2L7VdNASntCqDrQ%26dib_tag%3Dse%26keywords%3D%25E7%2594%25B5%25E8%2584%2591%26qid%3D1732530359%26sprefix%3Ddiannao%252Caps%252C321%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"GMKtec 迷你电脑,Intel N100 Windows 11 Pro (3.4GHz),16GB DDR4 1TB PCIe M.2 NVMe SSD,台式电脑 4K 双 HDMI 显示屏/4x USB3.2/WiFi 6/BT5.2/RJ45 以太网NucG3 盒装。",US$191.99,https://www.amazon.com/-/zh/sspa/click?ie=UTF8&spc=MTo1NTU4NTA5MTU3ODAzMDkxOjE3MzI1MzAzNTk6c3BfYXRmOjMwMDE3MTU5Nzg3MzQwMjo6MDo6&url=%2Fdp%2FB0CQ4C9ZY1%2Fref%3Dsr_1_2_sspa%3F__mk_zh_CN%3D%25E4%25BA%259A%25E9%25A9%25AC%25E9%2580%258A%25E7%25BD%2591%25E7%25AB%2599%26crid%3D36LGZVZRFXCYL%26dib%3DeyJ2IjoiMSJ9.H9lHYnH5_gpu1NjWw0k-hPxoUeVx9WBKzf2gKH6ocU3GjHj071QN20LucGBJIEps.hE-yFWy_SPhPlr_ophG4t7OxBWGb2L7VdNASntCqDrQ%26dib_tag%3Dse%26keywords%3D%25E7%2594%25B5%25E8%2584%2591%26qid%3D1732530359%26sprefix%3Ddiannao%252Caps%252C321%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"惠普 Stream 14 英寸高清 BrightView 笔记本电脑,英特尔赛扬 N4120,16GB 内存,288GB 存储空间(128GB eMMC + 160GB 扩展坞套装),英特尔超高清显卡,720p 网络摄像头,无线网络连接,1 年休息 ice 365, ice 3Win 11 S,银色",US$262.65,https://www.amazon.com/-/zh/dp/B0CZKPF2QH/ref=sr_1_3?__mk_zh_CN=%E4%BA%9A%E9%A9%AC%E9%80%8A%E7%BD%91%E7%AB%99&crid=36LGZVZRFXCYL&dib=eyJ2IjoiMSJ9.H9lHYnH5_gpu1NjWw0k-hPxoUeVx9WBKzf2gKH6ocU3GjHj071QN20LucGBJIEps.hE-yFWy_SPhPlr_ophG4t7OxBWGb2L7VdNASntCqDrQ&dib_tag=se&keywords=%E7%94%B5%E8%84%91&qid=1732530359&sprefix=diannao%2Caps%2C321&sr=8-3
惠普 Chromebook 14 英寸笔记本电脑、FHD 显示屏、Intel N100、4 GB 内存、64 GB emMC、Intel UHD 显卡、Chrome OS 14a-nf009nr (2024),US$209.00,https://www.amazon.com/-/zh/dp/B0D1548FK1/ref=sr_1_4?__mk_zh_CN=%E4%BA%9A%E9%A9%AC%E9%80%8A%E7%BD%91%E7%AB%99&crid=36LGZVZRFXCYL&dib=eyJ2IjoiMSJ9.H9lHYnH5_gpu1NjWw0k-hPxoUeVx9WBKzf2gKH6ocU3GjHj071QN20LucGBJIEps.hE-yFWy_SPhPlr_ophG4t7OxBWGb2L7VdNASntCqDrQ&dib_tag=se&keywords=%E7%94%B5%E8%84%91&qid=1732530359&sprefix=diannao%2Caps%2C321&sr=8-4
"华硕 Vivobook Go 15.6 英寸 FHD 超薄笔记本电脑,AMD 锐龙 3 7320U 四核处理器,8GB DDR5 内存,128GB 固态硬盘,Windows 1 家庭,快速充电,网络摄像头屏蔽,混合黑色,E1504FA-AS33",US$199.99,https://www.amazon.com/-/zh/dp/B0CWHYV27D/ref=sr_1_5?__mk_zh_CN=%E4%BA%9A%E9%A9%AC%E9%80%8A%E7%BD%91%E7%AB%99&crid=36LGZVZRFXCYL&dib=eyJ2IjoiMSJ9.H9lHYnH5_gpu1NjWw0k-hPxoUeVx9WBKzf2gKH6ocU3GjHj071QN20LucGBJIEps.hE-yFWy_SPhPlr_ophG4t7OxBWGb2L7VdNASntCqDrQ&dib_tag=se&keywords=%E7%94%B5%E8%84%91&qid=1732530359&sprefix=diannao%2Caps%2C321&sr=8-5
宏碁 Aspire 3 A315-24P-R7VH 超薄笔记本电脑 | 15.6 英寸全高清 IPS 显示屏 | AMD 锐龙 3 7320U 四核处理器 | AMD Radeon 显卡 | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 S 模式的家庭,US$279.99,https://www.amazon.com/-/zh/dp/B0BS4BP8FB/ref=sr_1_1?__mk_zh_CN=%E4%BA%9A%E9%A9%AC%E9%80%8A%E7%BD%91%E7%AB%99&crid=36LGZVZRFXCYL&dib=eyJ2IjoiMSJ9.Fbz4PMslbSsk0EWbOhN-VLDk882FUUWd8VfPa5PoKn-wweEjtHYYey-N1E2oweRrvrnltC2wmYqI33yVEBK-3Ixs3eAobSHZFxxrMbSXOmNtub2ryZiOZhte4C6_dZ9BL8608deZGSUE2LPizqneS-HA12Sz-sAg4jUiPC-Q6RGpQNDQxOlrH28dAF2Na6So.iKa-7zHI9X3ZiXIOTHxViKo3Pjijj4Slc9OYHzcIqb0&dib_tag=se&keywords=%E7%94%B5%E8%84%91&qid=1732530359&sprefix=diannao%2Caps%2C321&sr=8-1
"Canon GX6021 一体式无线超坦克打印机 - 适用于企业[打印、复印、扫描和ADF],白色",US$449.99,https://www.amazon.com/-/zh/sspa/click?ie=UTF8&spc=MTo1NTU4NTA5MTU3ODAzMDkxOjE3MzI1MzAzNTk6c3BfbXRmOjMwMDU0ODc4MDA1ODkwMjo6MDo6&url=%2Fdp%2FB09VRD924Y%2Fref%3Dsr_1_2_sspa%3F__mk_zh_CN%3D%25E4%25BA%259A%25E9%25A9%25AC%25E9%2580%258A%25E7%25BD%2591%25E7%25AB%2599%26crid%3D36LGZVZRFXCYL%26dib%3DeyJ2IjoiMSJ9.Fbz4PMslbSsk0EWbOhN-VLDk882FUUWd8VfPa5PoKn-wweEjtHYYey-N1E2oweRrvrnltC2wmYqI33yVEBK-3Ixs3eAobSHZFxxrMbSXOmNtub2ryZiOZhte4C6_dZ9BL8608deZGSUE2LPizqneS-HA12Sz-sAg4jUiPC-Q6RGpQNDQxOlrH28dAF2Na6So.iKa-7zHI9X3ZiXIOTHxViKo3Pjijj4Slc9OYHzcIqb0%26dib_tag%3Dse%26keywords%3D%25E7%2594%25B5%25E8%2584%2591%26qid%3D1732530359%26sprefix%3Ddiannao%252Caps%252C321%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
宏碁 Gateway Chromebook 311 CBO311-1H-C1MX 笔记本电脑 | 英特尔赛扬 N4500 | 11.6 英寸高清 (1366 x 768) 显示屏 | 4GB LPDDR4X | 64GB eMMC | Wi-Fi 5 802.11ac | Chrome 操作系统 | 星黑,US$147.99,https://www.amazon.com/-/zh/dp/B0D33NC672/ref=sr_1_3?__mk_zh_CN=%E4%BA%9A%E9%A9%AC%E9%80%8A%E7%BD%91%E7%AB%99&crid=36LGZVZRFXCYL&dib=eyJ2IjoiMSJ9.Fbz4PMslbSsk0EWbOhN-VLDk882FUUWd8VfPa5PoKn-wweEjtHYYey-N1E2oweRrvrnltC2wmYqI33yVEBK-3Ixs3eAobSHZFxxrMbSXOmNtub2ryZiOZhte4C6_dZ9BL8608deZGSUE2LPizqneS-HA12Sz-sAg4jUiPC-Q6RGpQNDQxOlrH28dAF2Na6So.iKa-7zHI9X3ZiXIOTHxViKo3Pjijj4Slc9OYHzcIqb0&dib_tag=se&keywords=%E7%94%B5%E8%84%91&qid=1732530359&sprefix=diannao%2Caps%2C321&sr=8-3
"ACEMAGIC 2024 最新 17.3 英寸笔记本电脑,全高清显示屏笔记本电脑,带四核 - 第 12 阿尔德湖 N97(高达 3.6GHz),6000 毫安电池,16GB RAM 512GB ROM 商务笔记本电脑。",US$399.99,https://www.amazon.com/-/zh/dp/B0DKDV6QS6/ref=sr_1_4?__mk_zh_CN=%E4%BA%9A%E9%A9%AC%E9%80%8A%E7%BD%91%E7%AB%99&crid=36LGZVZRFXCYL&dib=eyJ2IjoiMSJ9.Fbz4PMslbSsk0EWbOhN-VLDk882FUUWd8VfPa5PoKn-wweEjtHYYey-N1E2oweRrvrnltC2wmYqI33yVEBK-3Ixs3eAobSHZFxxrMbSXOmNtub2ryZiOZhte4C6_dZ9BL8608deZGSUE2LPizqneS-HA12Sz-sAg4jUiPC-Q6RGpQNDQxOlrH28dAF2Na6So.iKa-7zHI9X3ZiXIOTHxViKo3Pjijj4Slc9OYHzcIqb0&dib_tag=se&keywords=%E7%94%B5%E8%84%91&qid=1732530359&sprefix=diannao%2Caps%2C321&sr=8-4
"HP 惠普 15.6 FHD 旗舰商用笔记本电脑,32GB 内存,1TB PCIe SSD,第 12 代 Intel 10 核 i5-1235U(Beat i7-1195G7),Iris Xe 显卡,蓝牙,HDMI,WiFi 5,Win 11, w /GM 配件 ies",US$476.99,https://www.amazon.com/-/zh/dp/B0DBZ6Z71D/ref=sr_1_5?__mk_zh_CN=%E4%BA%9A%E9%A9%AC%E9%80%8A%E7%BD%91%E7%AB%99&crid=36LGZVZRFXCYL&dib=eyJ2IjoiMSJ9.Fbz4PMslbSsk0EWbOhN-VLDk882FUUWd8VfPa5PoKn-wweEjtHYYey-N1E2oweRrvrnltC2wmYqI33yVEBK-3Ixs3eAobSHZFxxrMbSXOmNtub2ryZiOZhte4C6_dZ9BL8608deZGSUE2LPizqneS-HA12Sz-sAg4jUiPC-Q6RGpQNDQxOlrH28dAF2Na6So.iKa-7zHI9X3ZiXIOTHxViKo3Pjijj4Slc9OYHzcIqb0&dib_tag=se&keywords=%E7%94%B5%E8%84%91&qid=1732530359&sprefix=diannao%2Caps%2C321&sr=8-5
